1	
tiriyabhāgehi    
tisahassimahāsahassilokadhātuyā    
tissassa    
tisso    
tivaggasaṅgahāni    
tiṇalatādigahanacchanne    
tiṇapaṇṇamattikāsu    
tulābhūto    
tusitapurato    
tuṭṭhahaṭṭho    
tvaṃ    
tāni    
tānipajja    
tāpasapabbajjaṃ    
tārāgaṇā    
tāvadeva    
tāvatā    
tīsupi    
ubbiggā    
ubhinnamantare    
ubhinnampi    
ubhopi    
udakaṃ    
uddhaṃ    
ukkuṭṭhisaddā    
upagacchuṃ    
uparibhāgena    
upekkhati    
upekkhāpāramitaṃ    
upeti    
uppajjante    
upāgamiṃ    
ussīsake    
uttarimanussadhammapeyyālaṃ    
uttarā    
vamate    
vasamānāpi    
vasībhūto    
vedajātaṃ    
vedayanti    
vemātikabhātā    
vibhaṅgappakaraṇaṃ    
vicinanto    
vicittapupphā    
vidhūpayaṃ    
vimalo    
vinayadharabhikkhūnañhi    
vinayamattameva    
vinayamattassapi    
vinayapiṭake    
vinayatthavidūhi    
vinayañca    
vinaye    
visayato    
visaṅkhāragataṃ    
visesena    
vissatthā    
visuddhimagge    
visuddhācārasīlena    
visākhā    
vitathaṃ    
vitaṇḍavādī    
vitthārikaṃ    
vitthāriyamānaṃ    
vitthāro    
vividhavisesanayattā    
vividhā    
vuttañhetaṃ    
vuttādhikā    
vākacīraṃ    
vāpitaṃ    
vātaṃ    
vīriyapāramitaṃ    
yadi    
yadimassa    
yadā    
yakkho    
yamahaṃ    
yamakapāṭihāriyaṃ    
yamakasālānamantare    
yamhi    
yasmā    
yassa    
yathā    
yathānupubbaṃ    
yathāpi    
yathāvutteneva    
yato    
yatohaṃ    
yañca    
yaṃ    
yaṃnūnimaṃ    
ye    
yo    
yā    
yāvatā    
a    
abbhokāsāvāso    
abbhuggantvā    
abbhutadhamma    
abbhutadhammaṃ    
abbhutā    
abbhācikkhati    
abhayo    
abhibhū    
abhidhammadesanāpariyosānañca    
abhidhammakathaṃ    
abhidhammanayasamuddaṃ    
abhidhammapiṭakanti    
abhidhammapiṭakaṃ    
abhidhammapiṭake    
abhidhammassa    
abhidhammatantiṃ    
abhidhammato    
abhidhammañca    
abhidhammaṃ    
abhidhamme    
abhidhammo    
abhidhammoti    
abhijāti    
abhikkama    
abhikkamanti    
abhikkantavaṇṇātiādīsu    
abhilakkhitātiādīsu    
abhimukho    
abhinanditabbaṃ    
abhinīhāro    
