1	
mandāravaṃ    
mano    
manoramaṃ    
manoratho    
manosilātale    
mantadharo    
mantetvā    
manujindotiādīsu    
manussabhūtena    
manussagaṇanāya    
manussaloke    
manusse    
manussesu    
manussā    
manussānaṃ    
manussāpi    
manāpā    
maraṇamattaṃ    
maraṇaṃ    
marū    
matoti    
matthakaṃ    
matthake    
mayaṃ    
mayha    
mayhanti    
mayhaṃ    
mayā    
mayāpi    
maññe    
maṃ    
maṅgalapokkharaṇītīre    
maṅgalasuttaratanasuttanālakasuttatuvaṭṭakasuttāni    
maṅgalo    
maṇimayā    
maṇiratanaṃ    
maṇitthambhesu    
maṇḍapassa    
maṇḍapaṃ    
maṇḍape    
maṇḍapo    
me    
medinī    
mekhalaṃ    
mettāpāramitā    
mettāpāramiṃ    
mettāsahagatena    
mettāya    
mettāyantassa    
micchādiṭṭhitaṃ    
micchāvitakkamakkhikā    
migadāye    
migarājā    
milāyanti    
mitto    
mocayiṃ    
moggaliputtatissattherenetaṃ    
moggaliputtatissatthero    
moggaliputto    
moggallānenāti    
moggallāno    
moghapurisā    
moho    
morapiñchakalāpo    
muccanti    
mucchitā    
mudukā    
mudutalaṃ    
muggavaṇṇasilaṃ    
muggavaṇṇasilāpaṭṭe    
muhuttaṃ    
mukhaṃ    
mukhādānaṃ    
muttimeva    
muttāhāraṃ    
muttājālasadisāya    
muñcitvā    
muñcitvāhaṃ    
muñcāmimaṃ    
muñjatiṇaṃ    
muḷālakalāpaṃ    
mā    
mālā    
mālāgandhūpahārādīhi    
mānamadapurisamade    
mānasaṃ    
mānusakaṃ    
mānusakā    
mānusaṃ    
mānusehi    
mānusā    
māpehīti    
māpesi    
māpesinti    
māpesiṃ    
māpetvā    
māpitā    
mārabalaṃ    
mārasenaṃ    
māreti    
māse    
māsehi    
mātaraṃ    
mātikaṃ    
mātikā    
mātikāṭhapanaṃ    
mātito    
mātu    
mātukucchiyaṃ    
mātukucchiṃ    
mātā    
mātāpi    
mātāpitaro    
māyā    
māṇavo    
mūgapakkhikā    
mūlapariyāyasuttādīni    
mūlato    
mūlayamakaṃ    
mūlādīhi    
na    
nabhe    
nadanaṃ    
naditvā    
nadiyo    
nadiyā    
nadiṃ    
nadīnivattane    
nagaradvāresu    
nagaraṃ    
nagare    
nahetū    
nakhāpi    
nakkhattā    
nakulā    
nalāṭaṃ    
namassanti    
namassitvā    
nandamātā    
nanti    
nanu    
napi    
napihaṃ    
nappahotiyeva    
nappakanti    
nappaṭicchādeti    
naramarū    
naranāriyo    
narā    
narāsabho    
natthi    
natthipaccayo    
natthīti    
nava    
navacchiddaṃ    
navadosamupāgata    
navadosamupāgataṃ    
navamaṃ    
navamo    
navappabhedaṃ    
navaṅgāni    
navaṅgānīti    
navuti    
navutihatthubbedhaṃ    
navutikoṭimabodhayi    
navutikoṭisahassāni    
navutikoṭisaṅkhyāya    
navutikoṭiyo    
navutivassasahassāni    
navutivassasahassānīti    
navutiyeva    
nayadānaṃ    
nayamukhaṃ    
nayasahassena    
nayasatasahassena    
nayasatena    
nayasāgaro    
nayato    
nayaṃ    
nayehi    
nayena    
nayo    
nayā    
nayānaṃ    
naṃ    
naṅguṭṭhe    
naṭṭhepi    
ne    
nekakoṭisataṃ    
nekkhamagavesako    
nekkhammapāramitā    
nekkhammapāramitāya    
nekkhammapāramiṃ    
nekkhammapāramīti    
nekkhammaṃ    
nerañjaramupehiti    
nerañjarāya    
nesaṃ    
neva    
ni    
nibaddhajagganabhāvo    
nibbanti    
nibbattesi    
nibbattetvā    
nibbatti    
nibbattiṃsu    
nibbattā    
nibbhayabhāvo    
nibbinnahadayo    
nibbutapadaṃ    
nibbutapiṇḍabhuñjanabhāvo    
nibbutiṃ    
nibbuto    
nibbutā    
nibbānaṃ    
nibbāyi    
niccakālaṃ    
niccalabhāvakaraṇatthaṃ    
niccalāva    
niccameva    
niccaṃ    
nicchandarāgabhāvo    
nicchārento    
nicchāretvā    
nidahitvā    
niddhantasuvaṇṇapiṇḍi    
niddiṭṭhaṃ    
niddosaṃ    
niddāvasena    
niddāyantena    
nidānakathā    
nidānakiccaṃ    
nidānakosallatthaṃ    
nidānassa    
nidānaṃ    
nidānāni    
nigaccheyya    
niggacchati    
niggahaṃ    
niggahaṃpe    
niggahito    
niggāthakaṃ    
nigrodharukkho    
nijjhānaṃ    
nikhilena    
nikkhamantassa    
nikkhamanti    
nikkhamantūti    
nikkhamathāti    
nikkhamitvā    
nikkhamiṃsu    
nikkhantasayanassa    
nikkhantaudakadhārā    
nikkhantaṃ    
nikkhanto    
nikkhantosmi    
nikkhantā    
nikkhepakaṇḍeyeva    
nikkheparāsi    
nikkhepaṃ    
nikkhepo    
nikkhepoti    
nikkhipitvā    
nikkhittaṃ    
nikāyabhāve    
nikāyato    
nikāye    
nikāyo    
nikāyoti    
nikāyā    
nikāyāti    
nimantessāmīti    
nimantetvā    
nimantitā    
nimantiyamāno    
nimimahārājakāle    
nimittaggāhamattakeneva    
nimittaṃ    
nimitte    
nimminitvā    
nimmitabuddhassa    
nimmitabuddhaṃ    
nimmānaratī    
ninnetā    
nipajjahaṃ    
nipannassa    
nipannena    
nipanno    
nippadesato    
nippadesatova    
nippadesena    
nipphannaṃ    
nipuṇaṃ    
nipuṇāmalabuddhinā    
nirantaraṃ    
niravasesato    
nirayā    
nirodhasaccaṃ    
nirodhasamāpattisamāpannaṃ    
nirodhā    
nirupabhogabhāvo    
nirākulā    
nisabho    
nisajjaṭṭhānacaṅkame    
nisinnasattāhaṃ    
nisinnena    
nisinno    
nisinnā    
nissaddā    
nissandena    
nissaraṇatthā    
nissayapaccayo    
nissaṅgatāya    
nissesaṃ    
nissāya    
nisāmetha    
nisīdanamaṇḍapaṃ    
nisīdanatthāya    
nisīdanaṭṭhānatthāya    
nisīdanaṭṭhānaṃ    
nisīdati    
nisīdi    
nisīditvā    
nisīdiṃsu    
nisīdāpetvā    
nivatta    
nivatthapārutaṃ    
nivattitvā    
nivesesi    
nivāsanapārupanatthāya    
nivāsanānurūpaṃ    
nivāsaphāsukaṃ    
nivāsato    
nivāsesi    
nivāsesiṃ    
nivāsetvā    
niyatā    
niyyātetvā    
niṭṭhitā    
niṭṭhubhanādīhi    
niṭṭhāpetvā    
no    
nosuttanāmikā    
nti    
ntipi    
nu    
nuddhaṃsati    
nupalabbhati    
nupapajjare    
nuppajjanti    
nuppajji    
nāddasaṃ    
nāgabhavanā    
nāgalatādantakaṭṭhaṃ    
nāgapunnāgaketakaṃ    
nāgarukkho    
nāgarukkhova    
nāgarājena    
nāgarājā    
nāgasamālā    
nāgā    
nāhaṃ    
nāhesunti    
nāhesuṃ    
nāhosi    
nālaṃ    
nāma    
nāmahaṃ    
nāmapadeso    
nāmapi    
nāmarūpaparicchedakathā    
nāmarūpaparicchedo    
nāmato    
nāmaṃ    
nāmesa    
nāmetanti    
nāmupaṭṭhāko    
nāmāti    
nānappakārakosallatthaṃ    
nānappakārato    
nānattaṃ    
nānattābhāvā    
nānubhonti    
nānājanasamākulaṃ    
nānākuṇapapūritaṃ    
nānākuṇapasañcayaṃ    
nānāsamāpattīhi    
nānāvirāgavaṇṇavisesasampanno    
nāradakūṭamhi    
nārado    
nārī    
nāsakkhi    
nāsakkhiṃsu    
nātho    
nāvaṃ    
nāvāya    
nāyaṃ    
nāṭakānaṃ    
nīharaṇābhāvo    
nīhārena    
nīlapeyyālaṃ    
nīlapītalohitodātamañjiṭṭhapabhassaravasena    
nīlarasmiyo    
nīlaṭṭhānehi    
nīpaṃ    
nūna    
obhāsanasamatthaṃ    
obhāsayamantalikkhanti    
odahitvā    
odātarasmiyo    
oghataraṇādīni    
ogāḷhassa    
okiranti    
okkamati    
okkamītiādīnaṃ    
okkanti    
okāsaṃ    
olaggetvā    
olambantā    
olambantūti    
olambatūti    
olambi    
olambitvā    
olambiṃsu    
olokaneneva    
olokento    
olokesi    
oloketi    
oloketvā    
omuñcanto    
orabhāge    
orimatīraṃ    
oruyha    
osamī    
osaranti    
osarantu    
otāretvā    
ovadati    
pa    
pabbajantūti    
pabbaji    
pabbajissāmīti    
pabbajitaṃ    
pabbajito    
pabbajitukāmā    
pabbajitvā    
pabbajitā    
pabbajitānañhi    
pabbajitānaṃ    
pabbajiṃsu    
pabbajjasuttādīnaṃ    
pabbajjā    
pabbajjāti    
pabbajjāya    
pabbate    
pabbato    
pabbaṃ    
pabbhāre    
pabbājento    
pabhedavacanato    
pabhedaṃ    
pabhā    
pabhāvatī    
pabhāvito    
pabhāya    
pabujjhitvā    
paccanīyamhi    
paccanīyepi    
paccanīyānulomamhi    
paccanīyānulome    
paccanīyānulomepi    
paccatthikā    
paccatthikānaṃ    
paccavekkhantassa    
paccavekkhanto    
paccavekkhantānaṃ    
paccayākārapadeso    
paccayākāravaṭṭaṃ    
paccayākāravibhaṅgo    
paccayākāre    
paccayākāro    
paccayānaṃ    
paccekaṃ    
pacchimabuddhavacanaṃ    
pacchimayāmāvasāne    
pacchimuttarāya    
pacchā    
pacchājātapaccayo    
pacchāpi    
pacurāparādhā    
padabhājanīyaṃ    
padahitvā    
padahitvāna    
padahiṃ    
padakkhiṇamakaṃsu    
padakkhiṇaṃ    
padanti    
padasahassāni    
padavalañjaṃ    
padesavihārasuttantavasena    
padesavihārasuttantaṃ    
padesaṃ    
padese    
padesena    
padeso    
padissanti    
padissare    
padissati    
padumagabbhaṃ    
padumaṃ    
padumo    
padumuttaro    
padumā    
paggahitamano    
paggayha    
paggaṇha    
paggharatīti    
paghaṭṭitā    
pahotīti    
pahānaṃ    
pahānāni    
pahāraṃ    
pahāya    
pahīnakileso    
pahīnaṃ    
pahūtadhanadhaññavā    
pajahanto    
pajahi    
pajahinti    
pajahitvā    
pajahiṃ    
pajānāti    
pakampatha    
pakampathāti    
pakampati    
pakaraṇaṃ    
pakaraṇānaṃ    
pakaraṇāni    
pakittetvā    
pakkamadhusakkaracuṇṇasappīhi    
pakkamati    
pakkamuṃ    
pakkhalitvā    
pakkhandiṃsu    
pakkhipitvā    
pakāsayissāmi    
pakāsitaṃ    
palibodhato    
pallaṅkasmiñhi    
pallaṅkassa    
pallaṅkavaramābhuje    
pallaṅkaṃ    
pallaṅke    
pallaṅkā    
paluggaṃ    
palālasakaṭe    
palāyati    
pamoditaṃ    
pamodito    
pamokāse    
pamudito    
pamukhaṃ    
pamādacāraṃ    
pamādamāgamma    
pamāṇaṃ    
pana    
panassa    
panesa    
panesā    
panetaṃ    
panete    
panettha    
panidaṃ    
pannarasappabhedo    
panāha    
papañcasaññāsaṅkhā    
papañco    
paralokaṃ    
paramatthabāhullato    
paramatthadesanā    
paramatthakusalena    
paramatthapāramī    
paramattho    
paramāya    
paranimmitavasavattī    
parapaṭibaddhatāya    
paratīraṃ    
paravāde    
paravādinā    
paravādī    
paraṃ    
pari    
paribhaṇḍakatā    
paribhogaphāsukaṃ    
paribhogena    
paribhuñjantassa    
paribhuñjitvā    
paribāhirāti    
pariccajituṃ    
pariccajiṃ    
paricchedamattakameva    
paricchede    
paricchedo    
paricchinne    
paricchinno    
paricchinnā    
paricchinnāpi    
paridahitvā    
paridīpanā    
paridīpaye    
paridīpayeti    
paridīpitadhammakkhandhavasena    
pariggahakaraṇabhāvo    
parihariyamāno    
parikkhipanto    
parikkhāre    
parimoceti    
parimuttiyā    
parimāṇaṃ    
parinibbutassa    
parinibbute    
parinibbānasamaye    
parinibbānato    
paripucchaṃ    
paripācito    
paripīḷito    
paripūraya    
paripūrento    
paripūressantīti    
parirakkhati    
pariruddho    
parisapariyante    
parisaṃ    
parisuddho    
parisā    
parisāya    
parivattento    
parivesane    
parivisituṃ    
parivisiṃsu    
parivitakko    
parivārayiṃsu    
parivārenti    
parivārito    
parivārā    
parivārāti    
pariyattibbhājanatthato    
pariyattibhedo    
pariyattibhājanatthato    
pariyattibhāvato    
pariyattiyo    
pariyesantassa    
pariyesissāmi    
pariyesitvā    
pariyonaddhā    
pariyuṭṭhānapaṭipakkhattā    
pariyuṭṭhānappahānaṃ    
pariyāpannā    
pariyāpuṇanti    
pariyāpuṇassu    
pariyāpuṇissasīti    
pariyāpuṇituṃ    
pariyāpuṇitvā    
pariyāpuṇāti    
pariyāpuṭā    
pariññātakkhandho    
pasannacitto    
pasavatīti    
passa    
passantasseva    
passanti    
passati    
passatīti    
passaṃ    
passesu    
passeyya    
passi    
pasādabahulānaṃ    
pasādeti    
pasādetvā    
pasāretvā    
pasāritarajatapaṭṭasumanapupphasantharasadiso    
pasīdi    
pasīditvā    
patati    
pathavikampane    
pathaviṃ    
pathavī    
pathe    
patitāsu    
patiṭṭhaha    
patiṭṭhāsi    
patiṭṭhāya    
pattacīvaramādāya    
pattaggahaṇaṃ    
pattaṃ    
patte    
patthanaṃ    
pattharitvāna    
patthitaṃ    
patto    
pattumicchasi    
pattuṇṇacīnapaṭakoseyyakambaladukulāni    
pattāni    
patvā    
patvāte    
patīti    
pavanaṃ    
pavane    
pavassanti    
pavattanasamatthaṃ    
pavattaphalabhojano    
pavattaphalamādiyiṃ    
pavattaya    
pavattayuṃ    
pavattento    
pavattesuṃ    
pavattetvā    
pavattinoti    
pavattitadesanā    
pavattittha    
pavattā    
pavecchati    
pavedayiṃ    
pavesetvā    
paveṇipālanatthāya    
pavisanto    
pavisissāmīti    
pavisitvā    
pavivekagate    
pavivekakkhamaṃ    
pavivekamanubrūhetuṃ    
pavivekañhi    
paviṭṭhakālo    
paviṭṭhena    
paviṭṭho    
pavuccati    
pavuccatīti    
pavāheti    
pavāhetvā    
pavāresi    
pavāyati    
pavāḷamayā    
pavāḷatthambhesu    
pavāḷavaṇṇaṃ    
payirudāhāsi    
payirupāsamāno    
pañca    
pañcacattālīsa    
pañcadasa    
pañcadasappabhedā    
pañcadasavaggasaṅgahāni    
pañcadosavivajjitanti    
pañcadosavivajjitaṃ    
pañcakkhandhe    
pañcakkhandhā    
pañcakānaṃ    
pañcamattabhāṇavāro    
pañcamaṃ    
pañcamo    
pañcannaṃ    
pañcappabhedaṃ    
pañcasatasahassakahāpaṇāni    
pañcasatikasaṅgītikāle    
pañcasu    
pañcatiṃsamattabhāṇavāraṃ    
pañcavaggiyānaṃ    
pañcavassasahassaparimāṇakālaṃ    
pañcavaṇṇāya    
pañcavidhapātimokkhuddesapārājikādisattaāpattikkhandhamātikāvibhaṅgādippabhedā    
pañcaṅgikasseva    
pañcime    
pañcābhiññāsu    
pañcāti    
pañhapucchakaṃ    
pañhaṃ    
pañhesu    
pañhākammaṃ    
pañhāpucchanaṃ    
pañhāvārā    
pañjalikā    
pañjalī    
paññatti    
paññattipathānurūpaṃ    
paññattīsu    
paññā    
paññāpāramitā    
paññāpāramitāya    
paññāpāramiṃ    
paññāpāramīti    
paññāsampadaṃ    
paññāsaṃ    
paññāsādhikāni    
paññāya    
paññāyati    
paññāyatīti    
paññāyittha    
paṇḍavapabbatapabbhāre    
paṇḍita    
paṇḍito    
paṇḍitāti    
paṇḍukambalanāmake    
paṇḍukambalasilāsanassa    
paṇḍukambalasilāyaṃ    
paṇṇacchadanaṃ    
paṇṇacchannā    
paṇṇasālaka    
paṇṇasālakanti    
paṇṇasālakaṃ    
paṇṇasālakuṭidvāraṃ    
paṇṇasālato    
paṇṇasālaṃ    
paṇṇasālā    
paṇṇasālāya    
paṇṇasālāyaṃ    
paṇṇāsa    
paṇṇāsahatthubbedhaṃ    
paṇṇāsasaṅgahādianekavidhaṃ    
paṭhamabuddhavacanaṃ    
paṭhamasannipāte    
paṭhamasannipātoyeva    
paṭhamataraṃ    
paṭhamayāme    
paṭhamaṃ    
paṭhame    
paṭhamo    
paṭhamābhisambuddho    
paṭibāhati    
paṭibāhento    
paṭiggahito    
paṭiggaho    
paṭighaṃ    
paṭihaññatīti    
paṭijaggissāmi    
paṭijaggitvā    
paṭikkamanti    
paṭikkamantītiādīsu    
paṭikkhipitvā    
paṭikkhittesu    
paṭilaggitaṃ    
paṭilome    
paṭimuñcitvā    
paṭinivatteti    
paṭipajji    
paṭipajjāhīti    
paṭiparivattitvā    
paṭipuccheyyātha    
paṭipāṭi    
paṭisambhidā    
paṭisambhidāhi    
paṭisambhidāppattassa    
paṭisambhidāvibhaṅgo    
paṭisandhiṃ    
paṭisevato    
paṭititthaṃ    
paṭivasati    
paṭivedho    
paṭividdhadhammaṃ    
paṭividdhanti    
paṭividdhoti    
paṭividdhākuppo    
paṭivijjhanti    
paṭivijjhantoyeva    
paṭivijjhi    
paṭivijjhitabbo    
paṭivijjhitvā    
paṭiññaṃ    
paṭṭhā    
paṭṭhānavaraṃ    
paṭṭhānaṃ    
paṭṭhānāni    
paṭṭhānānīti    
paṭṭhāya    
pe    
pesetvā    
phaggunī    
phalabhārā    
phalamuttame    
phalaṃ    
phalitā    
phalāphalaṃ    
pharasunā    
pharati    
phareyyuṃ    
pharitvā    
phariṃsu    
phassapaccayā    
phoṭā    
phusa    
phussadevo    
phusso    
phussā    
phuṭaṃ    
phāsukaṭṭhānaṃ    
phāsukā    
phāsuvihāraṃ    
phītaṃ    
pipphalīti    
pitito    
pitu    
pitucchādhītāya    
pitupitāmahādayo    
pitā    
pivatha    
piyadassī    
piyajālī    
piyapālo    
piyaṃ    
piyaṅgurukkho    
piṇḍapātaṃ    
piṇḍāya    
piṭakanti    
piṭakasaddena    
piṭakasampadānenātiādīsu    
piṭakato    
piṭakatthavidū    
piṭakañca    
piṭakañcāti    
piṭakaṃ    
piṭakesu    
piṭakāni    
potthake    
poṇikanikāyo    
pubbacaritaṃ    
pubbacariyakaṃ    
pubbakaṃ    
pubbanimittesu    
pubbapatthanāvasena    
pubbayogo    
pubbe    
pubbenivāsañāṇaṃ    
pucchanti    
pucchati    
pucchatīti    
pucchi    
pucchitakāle    
pucchitamattakeneva    
pucchitapañhañca    
pucchitasuttantā    
pucchiṃsu    
puggalapaññatti    
puggalapaññattiṃ    
puggalapaññattīti    
puggalavāre    
puggalo    
puggalā    
puna    
punabbhavo    
punadivase    
punapi    
punappunaṃ    
punnāgapupphasantharasadisaṃ    
punāpi    
pupphadāmaṃ    
pupphanti    
pupphasu    
pupphavitānaṃ    
pupphaṃ    
pupphehi    
pupphino    
pupphito    
pupphitā    
pupphitānaṃ    
pupphā    
pupphāni    
pupphūpagaphalūpagarukkhasañchannaṃ    
purato    
purejātapaccayo    
purimā    
purisaṃ    
purisena    
puriso    
purisuttame    
purā    
puthujjanakalyāṇā    
puttaketi    
puttasinehassa    
puññakamminaṃ    
puññakoṭṭhāsaṃ    
puññāni    
puññānubhāvena    
puṇḍarīkarukkho    
puṇṇacandasassirīkaṃ    
puṇṇamano    
puṭṭhā    
pāci    
pācīnadisābhimukho    
pādamuddhari    
pāde    
pādesu    
pādā    
pākaṭaṃ    
pākaṭo    
pākaṭā    
pākaṭāpe    
pālito    
pāmojjena    
pānīyaghaṭapānīyasaṅkhapānīyasarāvāni    
pāpakaṃ    
pāpake    
pāpaṃ    
pāpe    
pāpetuṃ    
pāpetvā    
pāpuṇi    
pāpuṇinti    
pāpuṇissasi    
pāpuṇissatīti    
pāpuṇitvā    
pāpuṇāti    
pāpuṇātīti    
pāragū    
pāramiyo    
pāramiṃ    
pāraṅgato    
pāricchattakamūle    
pārichattakaṃ    
pārupitvā    
pāsādesu    
pāsādiko    
pātimokkhāni    
pāto    
pātova    
pātubhavanti    
pāturahesuṃ    
pāturahosi    
pāvacanaṃ    
pāvisi    
pāvisī    
pāyesi    
pāyāsaṃ    
pāḷiyā    
pāṇe    
pāṇā    
pāṭalirukkho    
pāṭiyaputtasamāgame    
pītarasmiyo    
pītaṭṭhānehi    
pīti    
pītisomanassajāto    
pītisomanassaṃ    
pītisukheneva    
pītiyā    
pītiṃ    
pītiṃavijahitvā    
pīḷetvā    
pīḷitaṃ    
pūjamakāsi    
pūjesi    
pūjetvā    
pūjite    
pūjitā    
pūjitāpi    
pūjārahāti    
pūrayuṃ    
pūrehi    
pūrentassa    
pūrenti    
pūrento    
pūresi    
pūretvā    
pūritapāramibhāvaṃ    
pūritattabhāvānaṃ    
pūritaṃ    
pūrāpetvā    
pūtikāyaṃ    
rajataghaṭehi    
rajatamayesu    
rajatamayā    
rajatavaṇṇā    
rajitabbo    
rajjasiriṃ    
rajjaṃ    
rajjena    
rajomalaṃ    
rakkhantaṃ    
rakkhati    
rakkhatīti    
ramaṇīyaṃ    
rammavatī    
rammā    
ramāmi    
rasmiyo    
rasmiādīsu    
rasmīsu    
ratanagharanti    
ratanagharasattāhe    
ratanagharaṃ    
ratanaghare    
ratanamattaanucaṅkamaṃ    
ratanamattamakulaṃ    
ratanattaye    
ratanehi    
ratanike    
ratanā    
ratanāvaliṃ    
rattakambalaparikkhittā    
rattavākacīraṃ    
rattaṅkurarukkho    
rattaṭṭhānehi    
rattikkhaye    
rattindivaparicchedaṃ    
rattindivaparicchedo    
rattindivāni    
rattiyo    
rattāvasesena    
ravanakasakuṇānañca    
ravati    
rañño    
raṭṭhapīḷanakilesābhāvo    
raṭṭhaṃ    
raṭṭhuppādaṃ    
revato    
revatoti    
rittā    
rogo    
ropissaṃ    
ropitaṃ    
ruciṃ    
rujjanti    
rukkhamūlasenāsanassa    
rukkhamūlaṃ    
rukkhe    
rukkhā    
rāgaṃ    
rāgādipaṭipakkhabhūto    
rāgānusayānanti    
rāhulabhaddassa    
rājagahaṃ    
rājagahe    
rājakulesu    
rājakumāresu    
rājakumāro    
rājarājamahāmaccehi    
rājā    
rāmā    
rāsivaḍḍhako    
rūpagataṃva    
rūpakkhandho    
rūpavibhatti    
rūpañca    
rūpaṃ    
rūpārūpadhamme    
rūpārūpaparicchedaṃ    
rūpāvacarakusalato    
rūpūpapattiyā    
sa    
sabbabhave    
sabbabhikkhūnaṃ    
sabbadassī    
sabbadā    
sabbakammamupāgataṃ    
sabbakathāmaggesu    
sabbakilese    
sabbakālaṃ    
sabbakāmo    
sabbamitto    
sabbampetaṃ    
sabbampi    
sabbanāmā    
sabbapāramīti    
sabbasattānaṃ    
sabbasaṅkhārāti    
sabbaso    
sabbasāmayikaparisāya    
sabbattha    
sabbaññubuddhena    
sabbaññubuddhānaṃyeva    
sabbaññubuddhāva    
sabbaññutaññāṇaṃ    
sabbaññutaññāṇena    
sabbaññutaññāṇeneva    
sabbaññutaṃ    
sabbaṃ    
sabbaṅgasampannaṃ    
sabbaṅgasampannā    
sabbe    
sabbehipi    
sabbepi    
sabbesaṃ    
sabbesu    
sabbeva    
sabbā    
sabbāni    
sabhiyo    
sabhāvaparicchinnattā    
sabhāvarasalakkhaṇe    
saccamanurakkhantassa    
saccapadeso    
saccapaññatti    
saccapāramitā    
saccapāramiṃ    
saccapāramīti    
saccavibhaṅgo    
saccayamakaṃ    
saccesu    
sacchikatanirodho    
sacchikatenidha    
saccikaṭṭhaparamatthenāti    
saccikaṭṭho    
saccāni    
sace    
sacīvaraṃ    
saddehi    
saddhammaṃ    
saddhammo    
saddhivihārikānaṃ    
saddhiṃ    
saddhāsampannānaṃ    
saddārammaṇaṃ    
sadevakaṃ    
sadevake    
sadevakā    
sadhamme    
sadā    
saggesu    
saggā    
sagāthakaṃ    
sagāthāvaggo    
saha    
sahadhammikaṃ    
sahajātapaccayo    
sahampatibrahmunā    
sahassabhāgena    
sahassavaṭṭiyo    
sahassāni    
sahati    
sahatthā    
sahaṃ    
sahetudhammaṃ    
sahetusambhavaṃ    
sajjhāyantānaṃ    
sajjitaṃ    
sakalampetaṃ    
sakalampi    
sakalarattiṃ    
sakalasarīraṃ    
sakalaṃ    
sakalopi    
sakalāyapi    
sakassamā    
sakattānaṃ    
sakavāde    
sakaṭṭhāneva    
sakhilā    
sakhuraṃ    
sakkaccaṃ    
sakkadattiyaṃ    
sakkassa    
sakkena    
sakkhissathāti    
sakko    
sakkomi    
sakkoti    
sakkotīti    
sakkā    
sakkāti    
sakyarājakule    
sakāsayā    
salakkhaṇasaṅkhāto    
salakkhaṇā    
salakkhaṇāpi    
salalarukkho    
salalaṃ    
sallahukabhāvo    
sallakkhesi    
sallakkhetvā    
samabhavīti    
samanantarapaccayo    
samannāgataṃ    
samannāgato    
samantapaṭṭhānassa    
samantapaṭṭhāne    
samantato    
samantā    
samanupassāmi    
samatalaṃ    
samatalo    
samavippakiṇṇavālukaṃ    
samayaṃ    
samaye    
samayena    
samaṃ    
samaṅgo    
samaṇadhammaṃ    
samaṇasukhehi    
samaṇasukhāni    
sambalo    
sambhavo    
sambodhiṃ    
sambuddhassa    
sambuddhā    
sameti    
samijjhatīti    
samiṃsu    
sammappadhāna    
sammappadhānavibhaṅgo    
sammappadhānāni    
